# One line per check. A line missing ANY field does not count as a result.
# control = did a positive control fire (something that must appear whether or not the feature works)
# alone   = was anything else driving on the same instance/directory at the time
# TIMESTAMP every row: YYYY-MM-DD HH:MM, not just the date.
#
# ARM LABEL (added 2026-08-27 03:27 CEST). A two-arm A/B writes TWO rows and the parent arm is
#   SUPPOSED to FAIL — that failure is the proof the probe measures the defect, not a
#   result. Any query that takes "the latest row per cell" therefore reads a driven,
#   passing cell as failing; that happened to me twice on this file. So start the
#   'what' column with one of:
#     [parent]  the pre-fix control arm. A FAIL here is EXPECTED and is evidence.
#     [fix]     the with-fix arm. THIS ROW IS THE VERDICT.
#     [single]  a one-armed reading with no pre-fix control (rarer; say why in the text).
#   Rows written before this note use prose forms such as "(PARENT arm)" / "(FIX arm)".
# Rows written before
# 2026-08-26 16:05 CEST carry a date only; everything after carries the time.
# STALE = CODE changed since that commit, not merely that commits landed. Check with:
#   git diff --name-only <row commit>..issue/1761-agent-runtime | grep -v '^docs/'
# Empty output means the row still counts. The first version of this rule said "behind the
# tip" and would have thrown away 25 valid rows over three docs-only commits.
A7b hibernate+wake	codex-headless	PASS resume	6685c59	yes	yes	2026-08-26	POD-2777
A9 kill session	codex-headless	PASS 0 orphans	6685c59	yes	yes	2026-08-26	POD-2777
A10 driver identity	codex-headless	PARTIAL half-2	6685c59	yes	yes	2026-08-26	POD-2777
A3 interrupt	codex-headless	REFUSED control did not fire	6685c59	no	yes	2026-08-26	POD-2777
parked turn survives restart	codex-headless	FAIL message destroyed	6685c59	yes	yes	2026-08-26	POD-2875
parked turn survives restart	codex-terminal	PASS delivered normally	6685c59	yes	yes	2026-08-26	POD-2875
provider error surfaced	opencode-headless	PASS 12.2s typed	c58315e	yes	yes	2026-08-26	POD-2811
provider error surfaced	opencode-terminal	FAIL silent 190s	c58315e	yes	yes	2026-08-26	POD-2868
A2a status while working	codex-headless	PASS 51 preview frames	6685c59	yes	yes	2026-08-26	POD-2777
long turn completes	codex-headless	FAIL wedged 400s no output	6685c59	yes	yes	2026-08-26	POD-2884
long turn completes	codex-terminal	PASS 61s	6685c59	yes	yes	2026-08-26	POD-2884
long turn completes	codex-outside-podium	PASS 83s exit 0	6685c59	yes	yes	2026-08-26	POD-2884
A8 logged-out spawn	opencode-headless	PARTIAL demotion recorded no login path	6685c59	yes	yes	2026-08-26	POD-2777
long turn completes	opencode-headless	FAIL wedged 422s previews froze at 21	6685c59	yes	yes	2026-08-26	POD-2884
long turn completes	opencode-terminal	PASS 92s	6685c59	yes	yes	2026-08-26	POD-2884
long turn completes	opencode-outside-podium	PASS 64s	6685c59	yes	yes	2026-08-26	POD-2884
codex socket on 25-char instance	codex-headless	PASS nonce+native pane, pre-fix control FAILED	455a1007	yes	yes	2026-08-26	POD-2867
web bundle builds after merge repair	n/a-build	PASS build:dist exit 0, 0/236 files broken	aad84ec2	yes	yes	2026-08-26	POD-2777
reattach under custom agent home	generic-pty	PASS pre-fix control FAILED, both safe edges hold	31ac081b	yes	yes	2026-08-26	POD-2873
long turn completes POST-MERGE	codex-headless	FAIL wedged 426s previews froze at 80	372ae4d	yes	yes	2026-08-26	POD-2885
A8 post-login binds server driver	grok-headless	PASS fresh grok-acp binding	e222e9cb	yes	yes	2026-08-26 16:10 CEST	POD-2877
A10 driver identity	grok-headless	PASS grok-acp/server	e222e9cb	yes	yes	2026-08-26 16:10 CEST	POD-2877
A10 driver identity + escape hatch	grok-terminal	PASS generic-pty under override	e222e9cb	yes	yes	2026-08-26 16:10 CEST	POD-2877
TierB provider error names quota	grok-headless	PASS usage_limit retryable:false 402	e222e9cb	yes	yes	2026-08-26 16:10 CEST	POD-2877
TierB provider error names quota	grok-terminal	PASS Weekly limit left: 0%	e222e9cb	yes	yes	2026-08-26 16:10 CEST	POD-2877
long turn completes POST-FIX	codex-headless	PASS completed 643 previews 20192 chars	6b4da5b7	yes	yes	2026-08-26 16:33 CEST	POD-2885
long turn completes POST-FIX	codex-terminal	PASS 269889 screen bytes 14183 chars	6b4da5b7	yes	yes	2026-08-26 16:39 CEST	POD-2885
long turn completes POST-FIX	codex-outside-podium	PASS exit 0 line 400	6b4da5b7	yes	yes	2026-08-26 16:42 CEST	POD-2885
long turn completes POST-FIX	grok-headless	UNDRIVEN quota exhausted until 27th 11:03	6b4da5b7	n/a	n/a	2026-08-26 16:42 CEST	POD-2885
A7b hibernate and wake	opencode-headless	PASS pointer identical codeword recalled	372ae4de	yes	yes	2026-08-26 16:44 CEST	POD-2777
upgrade: session lists after cutover	all-four	PASS all four list	55f7e235	yes	yes	2026-08-26 16:53 CEST	POD-2858
upgrade: codex rebinds to server driver	codex	FAIL old transcript pair vanished from view	55f7e235	yes	yes	2026-08-26 16:53 CEST	POD-2858
upgrade: claude terminal unchanged	claude-pty	PASS transcript intact codeword returned	55f7e235	yes	yes	2026-08-26 16:53 CEST	POD-2858
upgrade: opencode logged-out fallback	opencode	INCONCLUSIVE fell back to generic-pty not a rebind	55f7e235	yes	yes	2026-08-26 16:53 CEST	POD-2858
upgrade: grok logged-out fallback	grok	INCONCLUSIVE fell back to generic-pty not a rebind	55f7e235	yes	yes	2026-08-26 16:53 CEST	POD-2858
A2a status while working	opencode-headless	FAIL badge idle 2744-3568ms bar is 2000ms	372ae4de	yes	yes	2026-08-26 17:04 CEST	POD-2902
A2a status while working	codex-headless	PASS badge working 205-398ms	372ae4de	yes	yes	2026-08-26 17:04 CEST	POD-2902
A3 interrupt MAIN comparison	claude-pty-on-main	BLOCKED bytes=0 no turn observed	0bd90092c	no	yes	2026-08-26 17:13 CEST	POD-2874
A3 interrupt MAIN baseline	claude-pty-on-main	UNOBTAINABLE main cannot start a named instance	0bd90092c	yes	yes	2026-08-26 17:16 CEST	POD-2874
A4a permission ask	claude-pty	BLOCKED instrument: claude rewrites manual to auto	0bd90092c	yes	yes	2026-08-26 17:16 CEST	POD-2874
A4b answer twice	claude-pty	BLOCKED instrument: same	0bd90092c	yes	yes	2026-08-26 17:16 CEST	POD-2874
A10 escape hatch demotes to terminal	codex-terminal	PASS generic-pty demoted:true identity readable	bea90c29	yes	yes	2026-08-26 17:24 CEST	POD-2777
upgrade: opencode rebinds to server driver	opencode	FAIL native ref changed codeword lost	55f7e235	yes	yes	2026-08-26 17:45 CEST	POD-2858
migration union: store fixtures	n/a-merged-build	PASS 44 files 351/351 incl conversation_binding+oom_killed_at	90eb6f12	yes	yes	2026-08-26 18:01 CEST	POD-2876
migration union: normalized-wire	n/a-merged-build	PASS 8/8	90eb6f12	yes	yes	2026-08-26 18:01 CEST	POD-2876
A4a one ask not two SERVER arm	opencode-headless	PASS 1 ask, pre-fix control showed 2	7b7afc98	yes	yes	2026-08-26 18:16 CEST	POD-2893
A4a classifier still fires TERMINAL arm	opencode-terminal	BLOCKED instrument: opencode auto-approved	7b7afc98	yes	yes	2026-08-26 18:16 CEST	POD-2893
A6b no-scrollback-corruption clause	codex-headless	UNMEASURED presence test could not fail	7b7afc98	no	yes	2026-08-26 18:19 CEST	POD-2777
A6b no-scrollback-corruption clause	codex-terminal	UNMEASURED same instrument	7b7afc98	no	yes	2026-08-26 18:19 CEST	POD-2777
A6b no-scrollback-corruption clause	opencode-headless	UNMEASURED same instrument	7b7afc98	no	yes	2026-08-26 18:19 CEST	POD-2777
A6b no-scrollback-corruption clause	opencode-terminal	UNMEASURED same instrument	7b7afc98	no	yes	2026-08-26 18:19 CEST	POD-2777
long turn: previews climb THROUGHOUT	codex-headless	PASS 38-115-197-282-357-444-510-592 crossing the 512 bound	6b4da5b7	yes	yes	2026-08-26 18:20 CEST	POD-2885
daemon lane 2 failures	n/a-gate	UNATTRIBUTED inferred not verified on tip	7b7afc98	no	yes	2026-08-26 18:24 CEST	POD-2893
conformance corpus has teeth	n/a-mutation	PASS mutation red 4/4 fake targets, restore green	fdfbe934	yes	yes	2026-08-26 20:48 CEST	POD-2885
busy terminal renders idle for whole turn (retro row from 604f8d7de msg, not my own drive)	opencode-terminal	PASS 121554 bytes idle=60 pre-fix, one-reader-per-cursor after	604f8d7d	yes pre-fix reproduced	unknown	2026-08-26 22:41 CEST	POD-2801
claude terminal phase stuck at idle (retro row from 4adb58eb6 msg, not my own drive)	claude-pty	PASS hook that opens the turn no longer dropped	4adb58eb	yes suite green while driving was not	unknown	2026-08-26 22:41 CEST	POD-2810
claude login readout	claude-pty	PASS readout correct under instance home	4a18e7d2	yes	no 2878+2871 live	2026-08-26 23:13 CEST	POD-2905
first-run warm-up: three sends	claude-pty	PASS all three delivered	4a18e7d2	yes	no 2878+2871 live	2026-08-26 23:13 CEST	POD-2905
A3 interrupt stops the turn (MAIN baseline)	claude-pty	REFUSED control never produced an in-flight turn	4a18e7d2	no	no heavy-lock contention+swap	2026-08-26 23:13 CEST	POD-2905
review-stage audit	git-cherry	NOT LANDED (+30); review	branch-tip:26fde4825	n/a	n/a	2026-08-26 23:19 CEST	POD-2115
review-stage audit	git-cherry	NOT LANDED (+2); review	branch-tip:4fd7ae1b9	n/a	n/a	2026-08-26 23:19 CEST	POD-2116
review-stage audit	git-cherry	NOT LANDED (+12); review	branch-tip:23c01ac04	n/a	n/a	2026-08-26 23:19 CEST	POD-2245
review-stage audit	git-cherry	NOT LANDED (+4); review	branch-tip:8813f16fa	n/a	n/a	2026-08-26 23:19 CEST	POD-2293
review-stage audit	git-cherry	LANDED, NEVER DRIVEN; review	b5c53918c	n/a	n/a	2026-08-26 23:19 CEST	POD-2298
review-stage audit	git-cherry	LANDED, NEVER DRIVEN; review	b247c2dbf	n/a	n/a	2026-08-26 23:19 CEST	POD-2408
review-stage audit	git-cherry	LANDED AND DRIVEN; explicit hold; review	f3ca7f535	n/a	n/a	2026-08-26 23:19 CEST	POD-2413
review-stage audit	git-cherry	LANDED AND DRIVEN; open close conditions; review	b67f3a9bb	n/a	n/a	2026-08-26 23:19 CEST	POD-2414
review-stage audit	git-cherry	LANDED AND DRIVEN; done	2b2c9ba03	n/a	n/a	2026-08-26 23:19 CEST	POD-2470
review-stage audit	git-cherry	LANDED AND DRIVEN; done	7d07547b3	n/a	n/a	2026-08-26 23:19 CEST	POD-2484
review-stage audit	git-cherry	LANDED, NEVER DRIVEN; review	ede96a992	n/a	n/a	2026-08-26 23:19 CEST	POD-2602
review-stage audit	git-cherry	LANDED, NEVER DRIVEN; review	dac2f0c09	n/a	n/a	2026-08-26 23:19 CEST	POD-2604
review-stage audit	git-cherry	LANDED, NEVER DRIVEN; review	b266484d8	n/a	n/a	2026-08-26 23:19 CEST	POD-2622
review-stage audit	git-cherry	LANDED, NEVER DRIVEN; review	27f133619	n/a	n/a	2026-08-26 23:19 CEST	POD-2637
review-stage audit	git-cherry	LANDED AND DRIVEN; done	5b013fcd8	n/a	n/a	2026-08-26 23:19 CEST	POD-2681
review-stage audit	git-cherry	NOT LANDED (+1); review	branch-tip:a55c4afc0	n/a	n/a	2026-08-26 23:19 CEST	POD-2690
review-stage audit	git-cherry	LANDED, NEVER DRIVEN; review	85564b383	n/a	n/a	2026-08-26 23:19 CEST	POD-2691
review-stage audit	git-cherry	LANDED AND DRIVEN; done	3317a2b1d	n/a	n/a	2026-08-26 23:19 CEST	POD-2728
review-stage audit	git-cherry	LANDED AND DRIVEN; done	ac9729a8a	n/a	n/a	2026-08-26 23:19 CEST	POD-2753
review-stage audit	git-cherry	LANDED, NEVER DRIVEN; review	3c4d9a297	n/a	n/a	2026-08-26 23:19 CEST	POD-2761
review-stage audit	git-cherry	LANDED, NEVER DRIVEN; review	e38128936	n/a	n/a	2026-08-26 23:19 CEST	POD-2773
review-stage audit	git-cherry	LANDED AND DRIVEN; done	47be96d58	n/a	n/a	2026-08-26 23:19 CEST	POD-2792
review-stage audit	git-cherry	LANDED AND DRIVEN; done	c58315ef4	n/a	n/a	2026-08-26 23:19 CEST	POD-2811
review-stage audit	git-cherry	LANDED AND DRIVEN; done	a7b7fbbd2	n/a	n/a	2026-08-26 23:19 CEST	POD-2828
review-stage audit	git-cherry	LANDED AND DRIVEN; done	a99dd63e2	n/a	n/a	2026-08-26 23:19 CEST	POD-2830
review-stage audit	git-cherry	LANDED AND DRIVEN; done	b2894ca71	n/a	n/a	2026-08-26 23:19 CEST	POD-2837
review-stage audit	git-cherry	LANDED AND DRIVEN; done	8306d1287	n/a	n/a	2026-08-26 23:19 CEST	POD-2839
review-stage audit	git-cherry	LANDED AND DRIVEN; done	f6a6c8625	n/a	n/a	2026-08-26 23:19 CEST	POD-2842
review-stage audit	git-cherry	LANDED AND DRIVEN; done	b4724584a	n/a	n/a	2026-08-26 23:19 CEST	POD-2843
review-stage audit	git-cherry	LANDED AND DRIVEN; done	d4fb68408	n/a	n/a	2026-08-26 23:19 CEST	POD-2853
review-stage audit	git-cherry	NO CODE EXPECTED; review	none	n/a	n/a	2026-08-26 23:19 CEST	POD-2903
parked send survives a real restart (POST-REBASE)	codex-headless	PASS queued pos=1, restart 4004323->4013566, nonce arrived once, C3 answered SURVIVED	68d2c3ba	yes C1 fired 45s	no 2871+2902+2913 live	2026-08-26 23:53 CEST	POD-2878
parked send survives a real restart (PRE-FIX CONTROL)	codex-headless	FAIL delivered receipt, restart 3038442->3045364, nonce ABSENT, LOST	aad84ec2	yes C1 parked	unknown	2026-08-26 23:53 CEST	POD-2878
direct terminal delivery unaffected (POST-REBASE)	generic-pty	PASS delivered, 2 items/2 deltas, nonce present, probe refused C1	68d2c3ba	yes probe refusal	no 2871+2902+2913 live	2026-08-26 23:53 CEST	POD-2878
A2a badge working within 2s (PRE-FIX arm, 5 interleaved)	opencode-headless	FAIL 2058-3754ms mean 2752.6ms, missed 2s bar 5/5	61218957	yes 5/5 controls fired	no interleaved same window	2026-08-27 00:13 CEST	POD-2902
A2a badge working within 2s (FIX arm, 5 interleaved)	opencode-headless	PASS 277-647ms mean 364.8ms, cleared bar 5/5, ranges do not overlap	ffa2fadc	yes 5/5 controls fired	no interleaved same window	2026-08-27 00:13 CEST	POD-2902
POD-2622 hermetic env reaches the child (READ, not driven)	harness-manifests	FAIL 3 of 9 call sites resolve through opts.env; cursor:123,153 and opencode:164 still bare with opts in scope	aa55cb34	yes parent 1641d823c shows cmd:'agent', fix shows resolveCursorBin	no 2878+2913+2914 live	2026-08-27 00:23 CEST	POD-2914
server suite attribution: services	n/a-gate	PASS 34 failed on the tip WITHOUT the fix = 34 reported WITH it	0d00f6c34	yes 1822 passed	no 3 sessions live	2026-08-27 00:39 CEST	POD-2878
server suite attribution: boundary	n/a-gate	PASS 45 failed on the tip WITHOUT the fix = 45 reported WITH it	0d00f6c34	yes 2032 passed	no 3 sessions live	2026-08-27 00:39 CEST	POD-2878
server suite attribution: contracts	n/a-gate	PASS 1 failed on the tip WITHOUT the fix = 1 reported WITH it	0d00f6c34	yes 1303 passed	no 3 sessions live	2026-08-27 00:39 CEST	POD-2878
cross-session transcript leak (PRE-FIX arm)	opencode-headless	NO_MEASUREMENT companion produced 0 rows, positive control never fired	4a18e7d2	no	no 2913+2914 live	2026-08-27 00:40 CEST	POD-2871
pre-fix boundary audit	n/a	UNDRIVEN; listed commit b266484d8 parent already contains substantive fix	b266484d8	n/a	n/a	2026-08-27 00:15 CEST	POD-2622
pre-fix boundary audit	n/a	UNDRIVEN; listed commit e38128936 is docs-only and parent already contains implementation	e38128936	n/a	n/a	2026-08-27 00:15 CEST	POD-2773
streaming long turn	grok	UNDRIVEN; provider quota unavailable until 2026-08-27 11:03 CEST, no token to measure	e38128936	n/a	no opencode inference	2026-08-27 00:15 CEST	POD-2773
Chat-CLI-Chat-CLI switch pre-fix cell	codex	UNDRIVEN; no reading: web-build heavy step gated by active test:heavy lease and host pressure	a841ade7407d91e72e946d05ebd281fe59f557b6	n/a	no probe started	2026-08-27 00:26 CEST	POD-2761
POD-2622 boundary verdict SUPERSEDES the 2026-08-27 00:15 CEST UNDRIVEN row	n/a-audit	FAIL boundary IS valid: 1641d823c has cmd:'agent', b266484d8 has resolveCursorBin(undefined, opts.env); defect real, 3 of 9 sites fixed	b1c72571	yes both sides read directly	no 2913+2914 live	2026-08-27 00:42 CEST	POD-2914
dead agents survive their issue (PARENT arm)	n/a-process	FAIL 7 live agents in 5 done worktrees; no UUID/guard at all	7ef0f5c97	yes sentinel fired	no 2871+2914 live	2026-08-27 00:44 CEST	POD-2691
dead agents survive their issue (EPIC TIP arm)	n/a-process	FAIL same 7 live agents in 5 done worktrees; UUID defined but NO production consumer, identity inert	b08e7d65c	yes sentinel fired	no 2871+2914 live	2026-08-27 00:44 CEST	POD-2691
dead agents survive their issue (re-census on the tip)	n/a-process	FAIL 5 live agents in 4 done worktrees (POD-91, 2059, 2291, 2908x2); POD-2902 exited between readings	63f76ad3f	yes exact pid->cwd, no pgrep -f	no 4 sessions live	2026-08-27 00:54 CEST	POD-2691
hermetic env reaches the child, 6 launch paths (PRE-FIX arm)	cursor+opencode	FAIL all 6 control launches ran the ambient PATH shim	453dad11^	yes shim fired 6/6	no 4 sessions live	2026-08-27 01:23 CEST	POD-2914
hermetic env reaches the child, 6 launch paths (FIX arm)	cursor+opencode	PASS all 6 ran the hermetic HOME binaries (.local/bin/agent, .opencode/bin/opencode) incl client attach and static login	04b637b31	yes shim fired on control	no 4 sessions live	2026-08-27 01:23 CEST	POD-2914
orphaned agents in /tmp state roots (not worktrees)	n/a-process	FAIL 3 live processes in 2 done-issue rig roots (pod-2801 x1, pod-2792 x2); invisible to a worktree-keyed census	b4e73990	yes 2 of 4 dirs came back clean and were removed	no 4 sessions live	2026-08-27 01:33 CEST	POD-2691
pre-fix boundary audit	n/a	UNDRIVEN; listed commit e38128936 is docs-only and parent already contains implementation	e38128936	n/a	n/a	2026-08-27 00:15 CEST	POD-2773
streaming long turn	grok	UNDRIVEN; provider quota unavailable until 2026-08-27 11:03 CEST, no token to measure	e38128936	n/a	no opencode inference	2026-08-27 00:15 CEST	POD-2773
Chat-CLI-Chat-CLI switch pre-fix cell	codex	UNDRIVEN; no reading: web-build heavy step gated by active test:heavy lease and host pressure	a841ade7407d91e72e946d05ebd281fe59f557b6	n/a	no probe started	2026-08-27 00:26 CEST	POD-2761
dead agent process census	/proc+tracker	FAIL; still broken: 7 live agent processes remain in 5 tracker-done worktrees; tip has no guard consumer	7ef0f5c979b067a8be6286f8e27a868186ed3cbe->b08e7d65c503c5a85e8a7d2c46d002eae5229fce	yes; sentinel seen in both arms	no concurrent POD-2691 probe; one census per arm	2026-08-27 00:39 CEST	POD-2691
POD-2622 final state: the defect it named is now FIXED	cursor+opencode	PASS closed by POD-2914 at 04b637b31; 6 launch paths driven with an ambient-PATH shim control	04b637b31	yes shim fired 6/6 pre-fix	no 4 sessions live	2026-08-27 01:35 CEST	POD-2622
stopped session stays stopped	n/a-lifecycle	FAIL stop freed the worktree at 01:26; queued --wake mail resurrected it, worktree recreated 01:37:26 with no node_modules, session live 01:39	070fc6528	yes dir mtime + lastInputAt + 2 live pids	no 4 sessions live	2026-08-27 01:42 CEST	POD-2916
refused receipt corrects optimistic delivered (PARENT arm)	claude-pty	FAIL receipt refused/not_running, row stayed delivered, marker P2298_LATE_REFUSAL_PARENT_TDV1FG	c203cec50	yes Welcome-to-Claude-Code fired	no 3 sessions live	2026-08-27 02:09 CEST	POD-2298
refused receipt corrects optimistic delivered (FIX arm)	claude-pty	PASS corrected to dead_letter with delivery-failed, marker P2298_LATE_REFUSAL_FIX_GFO43L	b5c53918c	yes same control fired	no 3 sessions live	2026-08-27 02:09 CEST	POD-2298
refused optimistic delivery correction	claude-pty	PASS; parent stayed delivered after refused not_running, tip corrected it to dead_letter	c203cec50aab6e32e1629463b9e33042210cf505->b5c53918c5d6af54d28bafcd5ae607a30940bc6e	yes; chat Welcome control and persisted refused receipt fired in both arms	one named instance and one probe directory per arm; no web bundle (server/daemon-only)	2026-08-27 01:54:27 CEST	POD-2298
A1a send while idle (BACKFILLED from POD-2874 README, drive 2026-08-26 ~12:00)	shell	PASS three idle sends landed and replied	6c10b6643	yes last send required to pass	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A1c send to a dead session (BACKFILLED)	shell	PASS baseline echo landed before the dead-session refusal test	6c10b6643	yes baseline echo	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A2b status at boot (BACKFILLED)	shell	PASS fresh session attached and reported an initial status	6c10b6643	yes fresh attach	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A6a terminal attach and type (BACKFILLED)	shell	PASS native viewer attached and received terminal bytes	6c10b6643	yes bytes before input/resize	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A7a daemon restart (BACKFILLED)	shell	PASS shell echo landed before daemon restart and session survived	6c10b6643	yes pre-restart echo	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A9 kill session (BACKFILLED)	shell	PASS process tree existed before kill and screen bytes were present	6c10b6643	yes tree+bytes before kill	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A1a send while idle (BACKFILLED)	claude-pty	PASS three idle sends landed and replied	6c10b6643	yes last send required to pass	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A1b send while busy (BACKFILLED)	claude-pty	FAIL busy-turn prompt landed; reload user and reply also landed	6c10b6643	yes prompt landed	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A1c send to a dead session (BACKFILLED)	claude-pty	PASS baseline turn landed before the dead-session refusal test	6c10b6643	yes baseline turn	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A2a status while working (BACKFILLED)	claude-pty	PASS durable working-turn prompt produced an in-flight signal	6c10b6643	yes in-flight signal	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A2b status at boot (BACKFILLED)	claude-pty	PASS fresh session attached and reported an initial status	6c10b6643	yes fresh attach	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A3 interrupt mid-turn (BACKFILLED)	claude-pty	FAIL session observed working before interrupt, turn did not stop	6c10b6643	yes observed working	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A4a permission ask (BACKFILLED)	claude-pty	BLOCKED instrument: claude 2.1.231 wizard could not be suppressed while retaining asks	6c10b6643	yes live control fired	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A4b answer twice (BACKFILLED)	claude-pty	BLOCKED instrument: fresh-home run hit the same wizard limit	6c10b6643	no reached wizard first	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A5 transcript (BACKFILLED)	claude-pty	PASS tool-test prompt landed and returned a tool transcript	6c10b6643	yes prompt landed	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A6a terminal attach and type (BACKFILLED)	claude-pty	PASS native viewer attached and received terminal bytes	6c10b6643	yes bytes before input/resize	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A6b chat-CLI switch both directions twice (BACKFILLED)	claude-pty	PASS first chat turn and reply landed before switching	6c10b6643	yes first turn	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A7a daemon restart (BACKFILLED)	claude-pty	PASS pre-restart turn landed and session survived	6c10b6643	yes pre-restart turn	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A7b hibernate and wake (BACKFILLED)	claude-pty	PASS pre-hibernate turn and codeword reply landed	6c10b6643	yes codeword	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A8 logged-out spawn (BACKFILLED)	claude-pty	BLOCKED logged-out claude attached and produced a terminal surface but no login path completed	6c10b6643	yes visible surface	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A9 kill session (BACKFILLED)	claude-pty	PASS process tree existed before kill and screen bytes were present	6c10b6643	yes tree+bytes before kill	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
refused receipt corrects optimistic delivered (PARENT arm, RETAKEN on clean resources)	claude-pty	FAIL receipt refused/not_running, row stayed delivered, marker P2298_LATE_REFUSAL_PARENT_DRIVEN_T5L9TK	c203cec50	yes Claude Code startup control + child pid 436109 killed before send	no 18GiB free 5.3GiB mem	2026-08-27 02:51 CEST	POD-2298
attachment staging typed refusal (PARENT arm, at the REAL boundary)	codex-headless	FAIL stageAttachment threw Error: codex-app-server does not stage attachments	5979159e3	yes fake app-server control launches=1 live=true thr-p2913-2408-parent	no 5 sessions live	2026-08-27 03:25 CEST	POD-2408
attachment staging typed refusal (FIX arm, at the REAL boundary)	codex-headless	PASS stageAttachment returned reason=unsupported with detail	10d5af58a	yes same control thr-p2913-2408-fix	no 5 sessions live	2026-08-27 03:25 CEST	POD-2408
refused optimistic delivery correction	claude-pty	PASS; parent stayed delivered after refused not_running, tip corrected it to dead_letter	c203cec50aab6e32e1629463b9e33042210cf505->b5c53918c5d6af54d28bafcd5ae607a30940bc6e	yes; attached Claude Code startup control and persisted refused receipt fired in both arms	one named instance and one probe directory per arm; no web bundle (server/daemon-only)	2026-08-27 02:39:16 CEST	POD-2298
attachment staging typed refusal boundary audit	static-audit	FAIL; invalid listed boundary: b247c2dbf^ already returns typed unsupported refusals; actual throw-to-typed boundary is 10d5af58a	b247c2dbfb71100b536b1335480f7b92b808fe51	n/a; no runtime positive control because the listed boundary is invalid	n/a; static consumer trace only, no runtime probe	2026-08-27 02:59:27 CEST	POD-2408
