# One line per check. A line missing ANY field does not count as a result.
# control = did a positive control fire (something that must appear whether or not the feature works)
# alone   = was anything else driving on the same instance/directory at the time
# TIMESTAMP every row: YYYY-MM-DD HH:MM, not just the date.
#
# ARM LABEL (added 2026-08-27 03:27 CEST). A two-arm A/B writes TWO rows and the parent arm is
#   SUPPOSED to FAIL — that failure is the proof the probe measures the defect, not a
#   result. Any query that takes "the latest row per cell" therefore reads a driven,
#   passing cell as failing; that happened to me twice on this file. So start the
#   'what' column with one of:
#     [parent]  the pre-fix control arm. A FAIL here is EXPECTED and is evidence.
#     [fix]     the with-fix arm. THIS ROW IS THE VERDICT.
#     [single]  a one-armed reading with no pre-fix control (rarer; say why in the text).
#   Rows written before this note use prose forms such as "(PARENT arm)" / "(FIX arm)".
# Rows written before
# 2026-08-26 16:05 CEST carry a date only; everything after carries the time.
# STALE = CODE changed since that commit, not merely that commits landed. Check with:
#   git diff --name-only <row commit>..issue/1761-agent-runtime | grep -v '^docs/'
# Empty output means the row still counts. The first version of this rule said "behind the
# tip" and would have thrown away 25 valid rows over three docs-only commits.
what	driver	verdict	commit	control	alone	date	issue
refused receipt corrects optimistic delivered (PARENT arm)	claude-pty	FAIL receipt refused/not_running, row stayed delivered, marker P2298_LATE_REFUSAL_PARENT_TDV1FG	c203cec50	yes Welcome-to-Claude-Code fired	no 3 sessions live	2026-08-27 02:09 CEST	POD-2298
refused receipt corrects optimistic delivered (FIX arm)	claude-pty	PASS corrected to dead_letter with delivery-failed, marker P2298_LATE_REFUSAL_FIX_GFO43L	b5c53918c	yes same control fired	no 3 sessions live	2026-08-27 02:09 CEST	POD-2298
refused optimistic delivery correction	claude-pty	PASS; parent stayed delivered after refused not_running, tip corrected it to dead_letter	c203cec50aab6e32e1629463b9e33042210cf505->b5c53918c5d6af54d28bafcd5ae607a30940bc6e	yes; chat Welcome control and persisted refused receipt fired in both arms	one named instance and one probe directory per arm; no web bundle (server/daemon-only)	2026-08-27 01:54:27 CEST	POD-2298
A1a send while idle (BACKFILLED from POD-2874 README, drive 2026-08-26 ~12:00)	shell	PASS three idle sends landed and replied	6c10b6643	yes last send required to pass	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A1c send to a dead session (BACKFILLED)	shell	PASS baseline echo landed before the dead-session refusal test	6c10b6643	yes baseline echo	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A2b status at boot (BACKFILLED)	shell	PASS fresh session attached and reported an initial status	6c10b6643	yes fresh attach	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A6a terminal attach and type (BACKFILLED)	shell	PASS native viewer attached and received terminal bytes	6c10b6643	yes bytes before input/resize	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A7a daemon restart (BACKFILLED)	shell	PASS shell echo landed before daemon restart and session survived	6c10b6643	yes pre-restart echo	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A9 kill session (BACKFILLED)	shell	PASS process tree existed before kill and screen bytes were present	6c10b6643	yes tree+bytes before kill	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A1a send while idle (BACKFILLED)	claude-pty	PASS three idle sends landed and replied	6c10b6643	yes last send required to pass	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A1b send while busy (BACKFILLED)	claude-pty	FAIL busy-turn prompt landed; reload user and reply also landed	6c10b6643	yes prompt landed	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A1c send to a dead session (BACKFILLED)	claude-pty	PASS baseline turn landed before the dead-session refusal test	6c10b6643	yes baseline turn	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A2a status while working (BACKFILLED)	claude-pty	PASS durable working-turn prompt produced an in-flight signal	6c10b6643	yes in-flight signal	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A2b status at boot (BACKFILLED)	claude-pty	PASS fresh session attached and reported an initial status	6c10b6643	yes fresh attach	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A3 interrupt mid-turn (BACKFILLED)	claude-pty	FAIL session observed working before interrupt, turn did not stop	6c10b6643	yes observed working	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A4a permission ask (BACKFILLED)	claude-pty	BLOCKED instrument: claude 2.1.231 wizard could not be suppressed while retaining asks	6c10b6643	yes live control fired	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A4b answer twice (BACKFILLED)	claude-pty	BLOCKED instrument: fresh-home run hit the same wizard limit	6c10b6643	no reached wizard first	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A5 transcript (BACKFILLED)	claude-pty	PASS tool-test prompt landed and returned a tool transcript	6c10b6643	yes prompt landed	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A6a terminal attach and type (BACKFILLED)	claude-pty	PASS native viewer attached and received terminal bytes	6c10b6643	yes bytes before input/resize	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A6b chat-CLI switch both directions twice (BACKFILLED)	claude-pty	PASS first chat turn and reply landed before switching	6c10b6643	yes first turn	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A7a daemon restart (BACKFILLED)	claude-pty	PASS pre-restart turn landed and session survived	6c10b6643	yes pre-restart turn	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A7b hibernate and wake (BACKFILLED)	claude-pty	PASS pre-hibernate turn and codeword reply landed	6c10b6643	yes codeword	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A8 logged-out spawn (BACKFILLED)	claude-pty	BLOCKED logged-out claude attached and produced a terminal surface but no login path completed	6c10b6643	yes visible surface	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
A9 kill session (BACKFILLED)	claude-pty	PASS process tree existed before kill and screen bytes were present	6c10b6643	yes tree+bytes before kill	yes POD-2777 driving	2026-08-27 02:42 CEST	POD-2874
refused receipt corrects optimistic delivered (PARENT arm, RETAKEN on clean resources)	claude-pty	FAIL receipt refused/not_running, row stayed delivered, marker P2298_LATE_REFUSAL_PARENT_DRIVEN_T5L9TK	c203cec50	yes Claude Code startup control + child pid 436109 killed before send	no 18GiB free 5.3GiB mem	2026-08-27 02:51 CEST	POD-2298
attachment staging typed refusal (PARENT arm, at the REAL boundary)	codex-headless	FAIL stageAttachment threw Error: codex-app-server does not stage attachments	5979159e3	yes fake app-server control launches=1 live=true thr-p2913-2408-parent	no 5 sessions live	2026-08-27 03:25 CEST	POD-2408
attachment staging typed refusal (FIX arm, at the REAL boundary)	codex-headless	PASS stageAttachment returned reason=unsupported with detail	10d5af58a	yes same control thr-p2913-2408-fix	no 5 sessions live	2026-08-27 03:25 CEST	POD-2408
refused optimistic delivery correction	claude-pty	PASS; parent stayed delivered after refused not_running, tip corrected it to dead_letter	c203cec50aab6e32e1629463b9e33042210cf505->b5c53918c5d6af54d28bafcd5ae607a30940bc6e	yes; attached Claude Code startup control and persisted refused receipt fired in both arms	one named instance and one probe directory per arm; no web bundle (server/daemon-only)	2026-08-27 02:39:16 CEST	POD-2298
attachment staging typed refusal boundary audit	static-audit	FAIL; invalid listed boundary: b247c2dbf^ already returns typed unsupported refusals; actual throw-to-typed boundary is 10d5af58a	b247c2dbfb71100b536b1335480f7b92b808fe51	n/a; no runtime positive control because the listed boundary is invalid	n/a; static consumer trace only, no runtime probe	2026-08-27 02:59:27 CEST	POD-2408
